Symbol,Security                              ,Nasdaq Sectors        ,GICS Sector           ,GICS Sub-Industry                           ,Headquarters Location                        ,Date first added       ,CIK    ,Founded
ALXN  ,Alexion Pharmaceuticals               ,Health Care           ,Health Care           ,Pharmaceuticals                             ,"Boston, Massachusetts"                      ,5/25/2012              ,899866 ,1992
NTAP  ,NetApp                                ,Information Technology,Information Technology,"Technology Hardware, Storage & Peripherals","Sunnyvale, California"                      ,6/25/1999              ,1002047,1992
NRG   ,NRG Energy                            ,Utilities             ,Utilities             ,Independent Power Producers & Energy Traders,"Houston, Texas"                             ,1/29/2010              ,1013871,1992
KMX   ,CarMax                                ,Consumer Discretionary,Consumer Discretionary,Specialty Stores                            ,"Richmond, Virginia"                         ,6/28/2010              ,1170010,1993
CHTR  ,Charter Communications                ,Communication Services,Communication Services,Cable & Satellite                           ,"Stamford, Connecticut"                      ,9/8/2016               ,1091667,1993
CMG   ,Chipotle Mexican Grill                ,Consumer Discretionary,Consumer Discretionary,Restaurants                                 ,"Newport Beach, California"                  ,4/28/2011              ,1058090,1993
HST   ,Host Hotels & Resorts                 ,Real Estate           ,Real Estate           ,Hotel & Resort REITs                        ,"Bethesda, Maryland"                         ,3/20/2007              ,1070750,1993
MLM   ,Martin Marietta Materials             ,Materials             ,Materials             ,Construction Materials                      ,"Raleigh, North Carolina"                    ,7/2/2014               ,916076 ,1993
NVDA  ,Nvidia                                ,Information Technology,Information Technology,Semiconductors                              ,"Santa Clara, California"                    ,11/30/2001             ,1045810,1993
POOL  ,Pool Corporation                      ,Consumer Discretionary,Consumer Discretionary,Distributors                                ,"Covington, Louisiana"                       ,10/7/2020              ,945841 ,1993
TTWO  ,Take-Two Interactive                  ,Communication Services,Communication Services,Interactive Home Entertainment              ,New York City                                ,3/19/2018              ,946581 ,1993
TDG   ,TransDigm Group                       ,Industrials           ,Industrials           ,Aerospace & Defense                         ,"Cleveland, Ohio"                            ,6/3/2016               ,1260221,1993
ALB   ,Albemarle Corporation                 ,Materials             ,Materials             ,Specialty Chemicals                         ,"Charlotte, North Carolina"                  ,7/1/2016               ,915913 ,1994
ARE   ,Alexandria Real Estate Equities       ,Real Estate           ,Real Estate           ,Office REITs                                ,"Pasadena, California"                       ,3/20/2017              ,1035443,1994
AMZN  ,Amazon                                ,Consumer Discretionary,Consumer Discretionary,Internet & Direct Marketing Retail          ,"Seattle, Washington"                        ,11/18/2005             ,1018724,1994
APTV  ,Aptiv                                 ,Consumer Discretionary,Consumer Discretionary,Auto Parts & Equipment                      ,"Dublin, Ireland"                            ,12/24/2012             ,1521332,1994
COF   ,Capital One Financial                 ,Financials            ,Financials            ,Consumer Finance                            ,"Tysons Corner, Virginia"                    ,7/1/1998               ,927628 ,1994
CTSH  ,Cognizant Technology Solutions        ,Information Technology,Information Technology,IT Consulting & Other Services              ,"Teaneck, New Jersey"                        ,11/17/2006             ,1058290,1994
CCI   ,Crown Castle                          ,Real Estate           ,Real Estate           ,Specialized REITs                           ,"Houston, Texas"                             ,3/14/2012              ,1051470,1994
TMUS  ,T-Mobile US                           ,Communication Services,Communication Services,Wireless Telecommunication Services         ,"Bellevue, Washington"                       ,7/15/2019              ,1283699,1994
NOC   ,Northrop Grumman                      ,Industrials           ,Industrials           ,Aerospace & Defense                         ,"West Falls Church, Virginia"                ,6/30/1985              ,1133421,"1994 (Northrop 1939, Grumman 1930)"
AMT   ,American Tower                        ,Real Estate           ,Real Estate           ,Specialized REITs                           ,"Boston, Massachusetts"                      ,11/19/2007             ,1053507,1995
DTE   ,DTE Energy                            ,Utilities             ,Utilities             ,Multi-Utilities                             ,"Detroit, Michigan"                          ,3/4/1957               ,936340 ,1995
EBAY  ,eBay                                  ,Consumer Discretionary,Consumer Discretionary,Internet & Direct Marketing Retail          ,"San Jose, California"                       ,7/22/2002              ,1065088,1995
ISRG  ,Intuitive Surgical                    ,Health Care           ,Health Care           ,Health Care Equipment                       ,"Sunnyvale, California"                      ,6/2/2008               ,1035267,1995
LMT   ,Lockheed Martin                       ,Industrials           ,Industrials           ,Aerospace & Defense                         ,"Bethesda, Maryland"                         ,7/31/1984              ,936468 ,1995
VRSN  ,Verisign                              ,Information Technology,Information Technology,Internet Services & Infrastructure          ,"Dulles, Virginia"                           ,2/1/2006               ,1014473,1995
BKNG  ,Booking Holdings                      ,Consumer Discretionary,Consumer Discretionary,Internet & Direct Marketing Retail          ,"Norwalk, Connecticut"                       ,11/6/2009              ,1075531,1996
CVS   ,CVS Health                            ,Health Care           ,Health Care           ,Health Care Services                        ,"Woonsocket, Rhode Island"                   ,3/4/1957               ,64803  ,1996
EXPE  ,Expedia Group                         ,Consumer Discretionary,Consumer Discretionary,Internet & Direct Marketing Retail          ,"Seattle, Washington"                        ,10/2/2007              ,1324424,1996
FFIV  ,F5 Networks                           ,Information Technology,Information Technology,Communications Equipment                    ,"Seattle, Washington"                        ,12/20/2010             ,1048695,1996
JNPR  ,Juniper Networks                      ,Information Technology,Information Technology,Communications Equipment                    ,"Sunnyvale, California"                      ,6/2/2006               ,1043604,1996
UAA   ,Under Armour (Class A)                ,Consumer Discretionary,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"       ,"Baltimore, Maryland"                        ,5/1/2014               ,1336917,1996
UA    ,Under Armour (Class C)                ,Consumer Discretionary,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"       ,"Baltimore, Maryland"                        ,4/8/2016               ,1336917,1996
ALGN  ,Align Technology                      ,Health Care           ,Health Care           ,Health Care Supplies                        ,"San Jose, California"                       ,6/19/2017              ,1097149,1997
FE    ,FirstEnergy                           ,Utilities             ,Utilities             ,Electric Utilities                          ,"Akron, Ohio"                                ,                       ,1031296,1997
KMI   ,Kinder Morgan                         ,Energy                ,Energy                ,Oil & Gas Storage & Transportation          ,"Houston, Texas"                             ,5/25/2012              ,1506307,1997
MPWR  ,Monolithic Power Systems              ,Information Technology,Information Technology,Semiconductors                              ,"Kirkland, Washington"                       ,2/12/2021              ,1280452,1997
NFLX  ,Netflix                               ,Communication Services,Communication Services,Movies & Entertainment                      ,"Los Gatos, California"                      ,12/20/2010             ,1065280,1997
PXD   ,Pioneer Natural Resources             ,Energy                ,Energy                ,Oil & Gas Exploration & Production          ,"Irving, Texas"                              ,9/24/2008              ,1038357,1997
PWR   ,Quanta Services                       ,Industrials           ,Industrials           ,Construction & Engineering                  ,"Houston, Texas"                             ,7/1/2009               ,1050915,1997
RCL   ,Royal Caribbean Group                 ,Consumer Discretionary,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"            ,"Miami, Florida"                             ,12/5/2014              ,884887 ,1997
URI   ,United Rentals                        ,Industrials           ,Industrials           ,Trading Companies & Distributors            ,"Stamford, Connecticut"                      ,9/20/2014              ,1067701,1997
YUM   ,Yum! Brands                           ,Consumer Discretionary,Consumer Discretionary,Restaurants                                 ,"Louisville, Kentucky"                       ,10/6/1997              ,1041061,1997
AKAM  ,Akamai Technologies                   ,Information Technology,Information Technology,Internet Services & Infrastructure          ,"Cambridge, Massachusetts"                   ,7/12/2007              ,1086222,1998
GOOGL ,Alphabet (Class A)                    ,Communication Services,Communication Services,Interactive Media & Services                ,"Mountain View, California"                  ,4/3/2014               ,1652044,1998
GOOG  ,Alphabet (Class C)                    ,Communication Services,Communication Services,Interactive Media & Services                ,"Mountain View, California"                  ,4/3/2006               ,1652044,1998
C     ,Citigroup                             ,Financials            ,Financials            ,Diversified Banks                           ,New York City                                ,5/31/1988              ,831001 ,1998
EQIX  ,Equinix                               ,Real Estate           ,Real Estate           ,Specialized REITs                           ,"Redwood City, California"                   ,3/20/2015              ,1101239,1998
ILMN  ,Illumina                              ,Health Care           ,Health Care           ,Life Sciences Tools & Services              ,"San Diego, California"                      ,11/19/2015             ,1110803,1998
LKQ   ,LKQ Corporation                       ,Consumer Discretionary,Consumer Discretionary,Distributors                                ,"Chicago, Illinois"                          ,5/23/2016              ,1065696,1998
PAYC  ,Paycom                                ,Information Technology,Information Technology,Application Software                        ,"Oklahoma City, Oklahoma"                    ,1/28/2020              ,1590955,1998
PYPL  ,PayPal                                ,Information Technology,Information Technology,Data Processing & Outsourced Services       ,"San Jose, California"                       ,7/20/2015              ,1633917,1998
SRE   ,Sempra Energy                         ,Utilities             ,Utilities             ,Multi-Utilities                             ,"San Diego, California"                      ,                       ,1032208,1998
VTR   ,Ventas                                ,Real Estate           ,Real Estate           ,Health Care REITs                           ,"Chicago, Illinois"                          ,3/4/2009               ,740260 ,1998
BAC   ,Bank of America                       ,Financials            ,Financials            ,Diversified Banks                           ,"Charlotte, North Carolina"                  ,6/30/1976              ,70858  ,1998 (1923 / 1874)
RSG   ,Republic Services                     ,Industrials           ,Industrials           ,Environmental & Facilities Services         ,"Phoenix, Arizona"                           ,12/5/2008              ,1060391,1998 (1981)
A     ,Agilent Technologies                  ,Health Care           ,Health Care           ,Health Care Equipment                       ,"Santa Clara, California"                    ,6/5/2000               ,1090872,1999
DXCM  ,DexCom                                ,Health Care           ,Health Care           ,Health Care Equipment                       ,"San Diego, California"                      ,5/12/2020              ,1093557,1999
EOG   ,EOG Resources                         ,Energy                ,Energy                ,Oil & Gas Exploration & Production          ,"Houston, Texas"                             ,11/2/2000              ,821189 ,1999
XOM   ,ExxonMobil                            ,Energy                ,Energy                ,Integrated Oil & Gas                        ,"Irving, Texas"                              ,3/4/1957               ,34088  ,1999
CRM   ,Salesforce                            ,Information Technology,Information Technology,Application Software                        ,"San Francisco, California"                  ,9/15/2008              ,1108524,1999
UNM   ,Unum Group                            ,Financials            ,Financials            ,Life & Health Insurance                     ,"Chattanooga, Tennessee"                     ,3/1/1994               ,5513   ,1999
WAB   ,Wabtec                                ,Industrials           ,Industrials           ,Construction Machinery & Heavy Trucks       ,"Pittsburgh, Pennsylvania"                   ,2/27/2019              ,943452 ,1999 (1869)
EXC   ,Exelon                                ,Utilities             ,Utilities             ,Multi-Utilities                             ,"Chicago, Illinois"                          ,3/4/1957               ,1109357,2000
FLT   ,Fleetcor                              ,Information Technology,Information Technology,Data Processing & Outsourced Services       ,"Norcross, Georgia"                          ,6/20/2018              ,1175454,2000
FTNT  ,Fortinet                              ,Information Technology,Information Technology,Systems Software                            ,"Sunnyvale, California"                      ,10/11/2018             ,1262039,2000
GPN   ,Global Payments                       ,Information Technology,Information Technology,Data Processing & Outsourced Services       ,"Atlanta, Georgia"                           ,4/25/2016              ,1123360,2000
HBI   ,Hanesbrands                           ,Consumer Discretionary,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"       ,"Winston-Salem, North Carolina"              ,3/20/2015              ,1359841,2000
ICE   ,Intercontinental Exchange             ,Financials            ,Financials            ,Financial Exchanges & Data                  ,"Atlanta, Georgia"                           ,9/26/2007              ,1571949,2000
MKTX  ,MarketAxess                           ,Financials            ,Financials            ,Financial Exchanges & Data                  ,New York City                                ,7/1/2019               ,1278021,2000
JPM   ,JPMorgan Chase                        ,Financials            ,Financials            ,Diversified Banks                           ,New York City                                ,6/30/1975              ,19617  ,2000 (1799 / 1871)
COP   ,ConocoPhillips                        ,Energy                ,Energy                ,Oil & Gas Exploration & Production          ,"Houston, Texas"                             ,3/4/1957               ,1163165,2002
SWKS  ,Skyworks Solutions                    ,Information Technology,Information Technology,Semiconductors                              ,"Woburn, Massachusetts"                      ,3/12/2015              ,4127   ,2002
WYNN  ,Wynn Resorts                          ,Consumer Discretionary,Consumer Discretionary,Casinos & Gaming                            ,"Paradise, Nevada"                           ,11/14/2008             ,1174922,2002
NOW   ,ServiceNow                            ,Information Technology,Information Technology,Systems Software                            ,"Santa Clara, California"                    ,11/21/2019             ,1373715,2003
SPG   ,Simon Property Group                  ,Real Estate           ,Real Estate           ,Retail REITs                                ,"Indianapolis, Indiana"                      ,6/26/2002              ,1063761,2003
SYF   ,Synchrony Financial                   ,Financials            ,Financials            ,Consumer Finance                            ,"Stamford, Connecticut"                      ,11/18/2015             ,1601712,2003
TSLA  ,Tesla                                 ,Consumer Discretionary,Consumer Discretionary,Automobile Manufacturers                    ,"Palo Alto, California"                      ,12/21/2020             ,1318605,2003
ANET  ,Arista Networks                       ,Information Technology,Information Technology,Communications Equipment                    ,"Santa Clara, California"                    ,8/28/2018              ,1596532,2004
DLR   ,Digital Realty Trust                  ,Real Estate           ,Real Estate           ,Specialized REITs                           ,"Austin, Texas"                              ,5/18/2016              ,1297996,2004
FB    ,Facebook                              ,Communication Services,Communication Services,Interactive Media & Services                ,"Menlo Park, California"                     ,12/23/2013             ,1326801,2004
MOS   ,The Mosaic Company                    ,Materials             ,Materials             ,Fertilizers & Agricultural Chemicals        ,"Tampa, Florida"                             ,9/26/2011              ,1285785,2004 (1865 / 1909)
ETSY  ,Etsy                                  ,Consumer Discretionary,Consumer Discretionary,Internet & Direct Marketing Retail          ,"Brooklyn, New York"                         ,9/21/2020              ,1370637,2005
TAP   ,Molson Coors Beverage Company         ,Consumer Staples      ,Consumer Staples      ,Brewers                                     ,"Denver, Colorado"                           ,6/30/1976              ,24545  ,"2005 (Molson 1786, Coors 1873)"
ENPH  ,Enphase Energy                        ,Information Technology,Information Technology,Electronic Components                       ,"Fremont, California"                        ,1/7/2021               ,1463101,2006
TWTR  ,Twitter                               ,Communication Services,Communication Services,Interactive Media & Services                ,"San Francisco, California"                  ,6/7/2018               ,1418091,2006
TMO   ,Thermo Fisher Scientific              ,Health Care           ,Health Care           ,Life Sciences Tools & Services              ,"Waltham, Massachusetts"                     ,8/3/2004               ,97745  ,2006 (1902)
CTLT  ,Catalent                              ,Health Care           ,Health Care           ,Pharmaceuticals                             ,"Somerset, New Jersey"                       ,9/21/2020              ,1596783,2007
FANG  ,Diamondback Energy                    ,Energy                ,Energy                ,Oil & Gas Exploration & Production          ,"Midland, Texas"                             ,12/3/2018              ,1539838,2007
LYB   ,LyondellBasell                        ,Materials             ,Materials             ,Specialty Chemicals                         ,"Rotterdam, Netherlands"                     ,9/5/2012               ,1489393,2007
TEL   ,TE Connectivity                       ,Information Technology,Information Technology,Electronic Manufacturing Services           ,"Schaffhausen, Switzerland"                  ,10/17/2011             ,1385157,2007
ATVI  ,Activision Blizzard                   ,Communication Services,Communication Services,Interactive Home Entertainment              ,"Santa Monica, California"                   ,8/31/2015              ,718877 ,2008
PM    ,Philip Morris International           ,Consumer Staples      ,Consumer Staples      ,Tobacco                                     ,New York City                                ,3/31/2008              ,1413329,2008 (1847)
MPC   ,Marathon Petroleum                    ,Energy                ,Energy                ,Oil & Gas Refining & Marketing              ,"Findlay, Ohio"                              ,7/1/2011               ,1510295,2009 (1887)
LYV   ,Live Nation Entertainment             ,Communication Services,Communication Services,Movies & Entertainment                      ,"Beverly Hills, California"                  ,12/23/2019             ,1335258,2010
HII   ,Huntington Ingalls Industries         ,Industrials           ,Industrials           ,Aerospace & Defense                         ,"Newport News, Virginia"                     ,1/3/2018               ,1501585,2011
XYL   ,Xylem                                 ,Industrials           ,Industrials           ,Industrial Machinery                        ,"White Plains, New York"                     ,11/1/2011              ,1524472,2011
NCLH  ,Norwegian Cruise Line Holdings        ,Consumer Discretionary,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"            ,"Miami, Florida"                             ,10/13/2017             ,1513761,2011 (1966)
FBHS  ,Fortune Brands Home & Security        ,Industrials           ,Industrials           ,Building Products                           ,"Deerfield, Illinois"                        ,6/22/2016              ,1519751,2011 (1969)
MDLZ  ,Mondelez International                ,Consumer Staples      ,Consumer Staples      ,Packaged Foods & Meats                      ,"Chicago, Illinois"                          ,10/2/2012              ,1103982,2012
PSX   ,Phillips 66                           ,Energy                ,Energy                ,Oil & Gas Refining & Marketing              ,"Houston, Texas"                             ,5/1/2012               ,1534701,2012 (1917)
MNST  ,Monster Beverage                      ,Consumer Staples      ,Consumer Staples      ,Soft Drinks                                 ,"Corona, California"                         ,6/28/2012              ,865752 ,2012 (1935)
PRGO  ,Perrigo                               ,Health Care           ,Health Care           ,Pharmaceuticals                             ,"Dublin, Ireland"                            ,12/19/2011             ,1585364,2013 (1887)
ABBV  ,AbbVie                                ,Health Care           ,Health Care           ,Pharmaceuticals                             ,"North Chicago, Illinois"                    ,12/31/2012             ,1551152,2013 (1888)
NWSA  ,News Corp (Class A)                   ,Communication Services,Communication Services,Publishing                                  ,New York City                                ,8/1/2013               ,1564708,2013 (1980)
NWS   ,News Corp (Class B)                   ,Communication Services,Communication Services,Publishing                                  ,New York City                                ,9/18/2015              ,1564708,2013 (1980)
KEYS  ,Keysight Technologies                 ,Information Technology,Information Technology,Electronic Equipment & Instruments          ,"Santa Rosa, California"                     ,11/6/2018              ,1601046,2014
WBA   ,Walgreens Boots Alliance              ,Consumer Staples      ,Consumer Staples      ,Drug Retail                                 ,"Deerfield, Illinois"                        ,12/31/1979             ,1618921,2014
ANTM  ,Anthem                                ,Health Care           ,Health Care           ,Managed Health Care                         ,"Indianapolis, Indiana"                      ,7/25/2002              ,1156039,2014 (1946)
HPE   ,Hewlett Packard Enterprise            ,Information Technology,Information Technology,"Technology Hardware, Storage & Peripherals","Houston, Texas"                             ,11/2/2015              ,1645590,2015
QRVO  ,Qorvo                                 ,Information Technology,Information Technology,Semiconductors                              ,"Greensboro, North Carolina"                 ,6/11/2015              ,1604778,2015
WRK   ,WestRock                              ,Materials             ,Materials             ,Paper Packaging                             ,"Atlanta, Georgia"                           ,                       ,1732845,2015
KHC   ,Kraft Heinz                           ,Consumer Staples      ,Consumer Staples      ,Packaged Foods & Meats                      ,"Chicago, Illinois; Pittsburgh, Pennsylvania",7/6/2015               ,1637459,2015 (1869)
FTV   ,Fortive                               ,Industrials           ,Industrials           ,Industrial Machinery                        ,"Everett, Washington"                        ,7/1/2016               ,1659166,2016
HWM   ,Howmet Aerospace                      ,Industrials           ,Industrials           ,Aerospace & Defense                         ,"Pittsburgh, Pennsylvania"                   ,3/31/1964              ,4281   ,2016
WLTW  ,Willis Towers Watson                  ,Financials            ,Financials            ,Insurance Brokers                           ,"London, England"                            ,1/5/2016               ,1140536,2016
LW    ,Lamb Weston                           ,Consumer Staples      ,Consumer Staples      ,Packaged Foods & Meats                      ,"Eagle, Idaho"                               ,12/3/2018              ,1679273,2016 (1950)
XRAY  ,Dentsply Sirona                       ,Health Care           ,Health Care           ,Health Care Supplies                        ,"Charlotte, North Carolina"                  ,11/14/2008             ,818479 ,2016 (1969)
BKR   ,Baker Hughes                          ,Energy                ,Energy                ,Oil & Gas Equipment & Services              ,"Houston, Texas"                             ,7/7/2017               ,1701605,2017
DD    ,DuPont                                ,Materials             ,Materials             ,Specialty Chemicals                         ,"Wilmington, Delaware"                       ,4/2/2019               ,1666700,2017
DXC   ,DXC Technology                        ,Information Technology,Information Technology,IT Consulting & Other Services              ,"Tysons Corner, Virginia"                    ,4/4/2017               ,1688568,2017
TPR   ,Tapestry                              ,Consumer Discretionary,Consumer Discretionary,"Apparel, accessories & Luxury Goods"       ,New York City                                ,                       ,1116132,2017
CTVA  ,Corteva                               ,Materials             ,Materials             ,Fertilizers & Agricultural Chemicals        ,"Wilmington, Delaware"                       ,6/3/2019               ,1755672,2019
DOW   ,Dow                                   ,Materials             ,Materials             ,Commodity Chemicals                         ,"Midland, Michigan"                          ,4/1/2019               ,1751788,2019
FOXA  ,Fox Corporation (Class A)             ,Communication Services,Communication Services,Movies & Entertainment                      ,New York City                                ,7/1/2013               ,1754301,2019
FOX   ,Fox Corporation (Class B)             ,Communication Services,Communication Services,Movies & Entertainment                      ,New York City                                ,9/18/2015              ,1754301,2019
AMCR  ,Amco                                  ,Materials             ,Materials             ,Paper Packaging                             ,"Warmley, Bristol, England"                  ,6/7/2019               ,1748790,2019 (1860)
LHX   ,L3Harris Technologies                 ,Industrials           ,Industrials           ,Aerospace & Defense                         ,"Melbourne, Florida"                         ,9/22/2008              ,202058 ,2019 (1895)
VIAC  ,ViacomCBS                             ,Communication Services,Communication Services,Movies & Entertainment                      ,New York City                                ,                       ,813828 ,2019 (1952)
OTIS  ,Otis Worldwide                        ,Industrials           ,Industrials           ,Industrial Machinery                        ,"Farmington, Connecticut"                    ,4/3/2020               ,1781335,2020 (1853)
CARR  ,Carrier Global                        ,Industrials           ,Industrials           ,Building Products                           ,"Palm Beach Gardens, Florida"                ,4/3/2020               ,1783180,2020 (1915)
OGN   ,Organon & Co.                         ,Health Care           ,Health Care           ,Pharmaceuticals                             ,"Jersey City, New Jersey"                    ,6/3/2021               ,1821825,2021
